year,victim.state,action.Malware,action.Hacking,action.Social,action.Physical,action.Misuse,action.Error,action.Environmental,action.Unknown,victim.industry.name,pattern,,victim.industry.name,pattern
2012,MO,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,GA,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2014,NA,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2013,IN,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,LA,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2015,CA,0,1,0,0,0,0,0,0,Unknown,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2011,NA,0,0,0,0,1,0,0,0,Unknown,Privilege Misuse,,,
2013,AR,0,1,0,0,0,0,0,0,Educational ,Everything Else,,,
2013,IL,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,WA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2009,MI,1,1,1,0,0,0,0,0,Manufacturing ,Cyber-Espionage,,,
2014,NA,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2012,NA,0,0,0,0,0,1,0,0,Professional ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,0,1,0,0,Unknown,Miscellaneous Errors,,,
2011,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,MN,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2011,NE,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,NA,0,1,0,0,0,0,0,0,Public ,Denial of Service,,,
2011,CA,0,0,1,0,0,0,0,0,Professional ,Everything Else,,,
2013,IL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2011,MO,0,0,0,0,0,1,0,0,Finance ,Lost and Stolen Assets,,,
2010,PA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2008,AZ,1,1,0,0,0,0,0,0,Accomodation ,Crimeware,,,
2011,TX,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2010,CA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,1,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2013,TX,0,0,0,0,0,0,0,1,Finance ,Everything Else,,,
2014,OK,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2012,NA,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2013,TX,1,1,0,0,0,0,0,0,Professional ,Web Applications,,,
2014,VT,1,0,1,0,0,0,0,0,Other Services ,Crimeware,,,
2014,TX,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,LA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NH,0,0,0,0,0,1,0,1,Educational ,Miscellaneous Errors,,,
2013,NA,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2012,NC,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,OR,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2010,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NY,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2011,TX,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2014,MD,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2013,GA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2014,NA,0,1,1,0,0,0,0,0,Unknown,Everything Else,,,
2015,CO,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,MN,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,OK,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2014,RI,0,1,0,0,0,0,0,0,Manufacturing ,Web Applications,,,
2013,NA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,TX,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,0,1,0,0,Information ,Miscellaneous Errors,,,
2010,TX,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2009,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,AL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,OH,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,FL,0,0,0,1,0,0,0,0,Healthcare ,Everything Else,,,
2010,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,TN,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,AZ,0,0,0,0,0,0,0,1,Transportation ,Everything Else,,,
2013,MN,0,0,0,0,1,0,0,0,Educational ,Privilege Misuse,,,
2014,KS,0,1,0,0,0,0,0,0,Public ,Denial of Service,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2013,NA,0,0,0,0,0,1,0,0,Professional ,Miscellaneous Errors,,,
2014,NA,0,1,0,0,0,0,0,0,Professional ,Cyber-Espionage,,,
2014,MS,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,DC,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2009,AL,0,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2011,FL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2008,NA,0,0,0,0,1,0,0,0,Retail ,Privilege Misuse,,,
2012,OH,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2011,OR,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,MT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,AL,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2012,NA,0,0,0,1,0,0,0,0,Educational ,Lost and Stolen Assets,,,
2007,NJ,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2011,NC,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NE,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,IN,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2010,PA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2010,NM,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Utilities ,Web Applications,,,
2012,MN,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2007,AL,0,0,0,1,0,0,0,0,Administrative ,Lost and Stolen Assets,,,
2013,CA,0,0,0,1,0,0,0,0,Retail ,Payment Card Skimmers,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2012,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NA,0,1,0,0,0,0,0,0,Manufacturing ,Everything Else,,,
2012,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,AR,0,0,0,0,0,0,0,1,Educational ,Everything Else,,,
2007,NA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,IN,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2012,NE,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,NA,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2011,CA,0,0,0,0,1,0,0,0,Retail ,Privilege Misuse,,,
2015,TX,0,0,0,1,0,0,0,0,Other Services ,Everything Else,,,
2013,NA,1,1,1,0,0,0,0,0,Finance ,Cyber-Espionage,,,
2013,TN,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Unknown,Everything Else,,,
2015,OR,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,NY,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2010,PA,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2013,NY,0,0,1,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2015,AZ,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2011,AL,0,0,0,0,0,1,0,0,Finance ,Lost and Stolen Assets,,,
2012,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,VA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,OR,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2011,WA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,NA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2012,TN,1,0,0,0,0,0,0,0,Retail ,Everything Else,,,
2013,MI,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2011,IL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2012,FL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,FL,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2013,MA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2014,NA,0,1,0,0,0,0,0,0,Finance ,Denial of Service,,,
2011,TN,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,WA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,FL,0,0,0,1,0,0,0,0,Administrative ,Lost and Stolen Assets,,,
2010,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2015,VT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2015,ME,0,1,0,0,0,0,0,0,Retail ,Everything Else,,,
2013,CA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2015,PA,1,1,0,0,0,0,0,0,Entertainment ,Point of Sale,,,
2010,AK,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2007,IL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2006,NA,0,0,0,0,1,0,0,0,Management ,Privilege Misuse,,,
2012,NE,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,WA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2012,IL,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,CA,0,1,0,0,0,0,0,0,Administrative ,Web Applications,,,
2013,CA,0,1,0,0,0,0,0,0,Professional ,Denial of Service,,,
2011,CT,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,NA,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2014,PA,0,0,0,0,0,0,0,1,Finance ,Everything Else,,,
2012,UT,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2012,TX,1,0,0,0,0,0,0,0,Healthcare ,Crimeware,,,
2011,IN,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2010,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,MA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,TX,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,OK,0,0,0,1,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NJ,0,0,0,1,0,0,0,0,Retail ,Point of Sale,,,
2012,WY,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2011,FL,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2010,MI,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,OH,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2014,MD,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2010,CO,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2013,GA,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2002,PA,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2010,MO,0,1,0,0,0,0,0,0,Trade ,Web Applications,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2014,TN,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2012,MT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2008,NC,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2015,CA,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2014,VA,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2011,AZ,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,LA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,MN,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2010,NE,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2012,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2014,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2014,NA,0,0,0,0,1,0,0,0,Retail ,Privilege Misuse,,,
2013,NA,1,1,0,0,0,0,0,0,Public ,Web Applications,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2010,NE,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,IL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,NA,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2015,SC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,FL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,NA,1,1,1,0,0,0,0,0,Information ,Cyber-Espionage,,,
2010,KS,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,NA,0,0,0,0,0,1,0,0,Real Estate ,Miscellaneous Errors,,,
2013,AZ,1,0,0,0,0,0,0,0,Retail ,Point of Sale,,,
2014,NA,0,0,1,0,0,0,0,0,Educational ,Everything Else,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,RI,1,0,1,0,0,0,0,0,Manufacturing ,Crimeware,,,
2011,TX,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2012,NY,0,1,0,0,0,0,0,0,Retail ,Everything Else,,,
2014,NA,1,0,0,0,0,0,0,0,Manufacturing ,Crimeware,,,
2012,CA,0,0,0,1,0,0,0,0,Educational ,Lost and Stolen Assets,,,
2013,NA,0,0,0,0,1,0,0,0,Manufacturing ,Privilege Misuse,,,
2014,KS,0,0,0,0,0,0,0,1,Other Services ,Everything Else,,,
2003,NA,0,1,0,0,1,0,0,0,Professional ,Privilege Misuse,,,
2013,NA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2015,NC,1,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,1,0,0,0,Information ,Privilege Misuse,,,
2014,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2009,CA,1,1,1,0,0,0,0,0,Information ,Cyber-Espionage,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,VT,0,0,0,0,0,0,0,1,Retail ,Point of Sale,,,
2013,NA,0,1,0,0,0,0,0,0,Professional ,Everything Else,,,
2014,CA,0,0,0,0,1,0,0,0,Information ,Privilege Misuse,,,
2011,NA,0,0,0,0,1,0,0,0,Trade ,Privilege Misuse,,,
2013,MI,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2015,OK,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2015,MA,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2014,NA,0,1,0,0,0,0,0,0,Educational ,Everything Else,,,
2015,CO,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2014,FL,0,0,0,1,0,0,0,0,Retail ,Payment Card Skimmers,,,
2013,NY,0,0,0,0,1,0,0,0,Professional ,Privilege Misuse,,,
2010,MO,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,MT,0,1,0,0,0,0,0,0,Finance ,Web Applications,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,AL,0,0,0,0,1,0,0,0,Unknown,Privilege Misuse,,,
2013,WA,0,0,0,1,1,0,0,0,Public ,Privilege Misuse,,,
2013,ME,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,UT,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NY,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,NA,0,1,0,0,0,0,0,0,Professional ,Denial of Service,,,
2011,CA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,CT,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2013,SC,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,0,1,0,0,0,0,0,0,Administrative ,Point of Sale,,,
2011,OH,1,0,0,0,0,0,0,0,Transportation ,Crimeware,,,
2007,NA,0,1,0,0,0,0,0,0,Administrative ,Web Applications,,,
2012,WI,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2011,MI,0,0,0,0,1,0,0,0,Administrative ,Privilege Misuse,,,
2014,IN,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,AL,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2014,WV,0,0,0,1,0,0,0,0,Educational ,Lost and Stolen Assets,,,
2010,CT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2010,OR,0,1,0,0,0,0,0,0,Trade ,Everything Else,,,
2010,ID,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2011,MI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,NJ,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2014,MA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,MA,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2010,OK,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,GA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2015,NA,1,1,0,0,0,0,0,0,Unknown,Web Applications,,,
2012,TX,0,0,0,0,1,0,0,0,Professional ,Privilege Misuse,,,
2013,NA,1,1,0,0,0,0,0,0,Administrative ,Web Applications,,,
2013,OH,0,0,0,1,0,0,0,0,Construction ,Lost and Stolen Assets,,,
2012,MO,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2008,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2013,ME,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,HI,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,FL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2012,OR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,NA,0,0,0,1,0,0,0,0,Trade ,Point of Sale,,,
2014,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2010,IL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,NC,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2013,CO,0,0,0,0,0,0,0,1,Educational ,Everything Else,,,
2013,VT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,PA,0,1,0,0,0,0,0,0,Finance ,Web Applications,,,
2013,NS,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2012,OR,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,0,0,0,0,0,1,0,0,Information ,Lost and Stolen Assets,,,
2014,VA,0,1,0,0,0,0,0,0,Trade ,Denial of Service,,,
2014,VA,0,0,0,1,0,0,0,0,Finance ,Payment Card Skimmers,,,
2014,NA,0,1,0,0,0,0,0,0,Information ,Denial of Service,,,
2014,NA,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2015,MN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2012,WA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,NA,1,1,1,0,0,0,0,0,Professional ,Cyber-Espionage,,,
2013,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,TX,1,1,0,0,0,0,0,0,Accomodation ,Point of Sale,,,
2011,GA,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2013,FL,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2014,KS,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2012,OK,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,NA,0,0,0,0,1,0,0,0,Information ,Privilege Misuse,,,
2006,CA,0,1,0,0,0,0,0,0,Educational ,Everything Else,,,
2014,NA,0,0,0,0,0,0,0,1,Transportation ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2010,RI,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2015,MA,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2014,DC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2013,MI,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2013,OH,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NV,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2007,NY,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2012,VT,0,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2012,FL,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2012,NA,0,1,0,0,0,0,0,0,Public ,Cyber-Espionage,,,
2010,WV,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,SC,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2012,MN,0,0,0,1,1,0,0,0,Public ,Privilege Misuse,,,
2014,MD,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2011,NJ,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,MD,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,CA,1,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2011,VA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,MO,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,NA,0,1,0,0,0,0,0,0,Accomodation ,Everything Else,,,
2010,TX,1,1,1,0,0,0,0,0,Professional ,Crimeware,,,
2012,NA,0,1,0,0,0,0,0,0,Professional ,Everything Else,,,
2014,NA,1,0,0,0,0,0,0,0,Finance ,Cyber-Espionage,,,
2012,NA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,KS,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2006,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,MS,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,MN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2012,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2013,NA,0,1,0,0,0,0,0,0,Finance ,Denial of Service,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2012,NY,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Manufacturing ,Everything Else,,,
2013,NC,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2010,SC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,AL,0,1,0,0,0,0,0,0,Educational ,Everything Else,,,
2011,WV,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Unknown,Web Applications,,,
2014,NY,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2012,CA,0,0,0,1,0,0,0,0,Professional ,Lost and Stolen Assets,,,
2011,AR,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2014,NA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,WA,0,0,0,0,0,1,0,0,Other Services ,Miscellaneous Errors,,,
2013,NY,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,NA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,IL,0,0,0,0,0,1,0,0,Retail ,Lost and Stolen Assets,,,
2015,NC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
